    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	          RATIO[3] 
    4.853	 DELIVER	     1 	   1.42 	   4.79 	      0 	      0 
   12.265	 DELIVER	     2 	   2.95 	   9.99 	      0 	      0 
   16.657	 DELIVER	     3 	  0.397 	    6.9 	      0 	      0 
   16.695	 DELIVER	     4 	  0.397 	    9.8 	      0 	      0 
   17.738	 DELIVER	     5 	   1.74 	   7.56 	      0 	      0 
   27.337	 DELIVER	     6 	    1.5 	   5.82 	      0 	      0 
   31.437	 DELIVER	     7 	   0.77 	   6.08 	      0 	      0 
   32.845	 DELIVER	     8 	   1.22 	   7.55 	      0 	      0 
   33.053	 DELIVER	     9 	   1.98 	    6.8 	      0 	      0 
   38.323	 DELIVER	    10 	   1.36 	   7.58 	      0 	      0 
   39.932	 DELIVER	    11 	   2.62 	   7.08 	      0 	      0 
   44.293	 DELIVER	    12 	   1.22 	   6.62 	      0 	      0 
   46.958	 DELIVER	    13 	   0.37 	   6.35 	      0 	      0 
   47.421	 DELIVER	    14 	   1.82 	   5.73 	      0 	      0 
   47.999	 DELIVER	    15 	   1.19 	   6.98 	      0 	      0 
   52.029	 DELIVER	    16 	   1.51 	     10 	      0 	      0 
   56.402	 DELIVER	    17 	   2.73 	   12.1 	      0 	      0 
   57.340	 DELIVER	    18 	  0.994 	   12.8 	      0 	      0 
   57.655	 DELIVER	    19 	   2.32 	   11.8 	      0 	      0 
   59.654	 DELIVER	    20 	   1.65 	   10.1 	      0 	      0 
   60.013	 DELIVER	    21 	   2.36 	   10.4 	      0 	      0 
   61.253	 DELIVER	    22 	   2.01 	   8.02 	      0 	      0 
   61.299	 DELIVER	    23 	   1.42 	   6.48 	      0 	      0 
   62.560	 DELIVER	    24 	  0.395 	   5.63 	      0 	      0 
   62.748	 DELIVER	    25 	   2.35 	   6.78 	      0 	      0 
   62.953	 DELIVER	    26 	  0.395 	   57.3 	      0 	      0 
   64.911	 DELIVER	    27 	  0.683 	    7.1 	      0 	  0.235 
   65.397	 DELIVER	    28 	   1.05 	   5.46 	      0 	  0.235 
   66.330	 DELIVER	    29 	   1.81 	   6.54 	      0 	  0.235 
   67.137	 DELIVER	    30 	   2.07 	   6.58 	  0.154 	  0.235 
   69.412	 DELIVER	    31 	   2.73 	   8.81 	  0.154 	  0.235 
   69.649	 DELIVER	    32 	  0.951 	      8 	  0.154 	  0.235 
   71.116	 DELIVER	    33 	   1.26 	   8.57 	  0.154 	   6.52 
   74.095	 DELIVER	    34 	   2.46 	   11.1 	  0.154 	   8.82 
   74.927	 DELIVER	    35 	   1.83 	   11.6 	  0.154 	    9.8 
   75.000	 DELIVER	    36 	   2.46 	     11 	  0.154 	    9.8 
   76.624	 DELIVER	    37 	   2.01 	   12.5 	  0.154 	   10.3 
   76.882	 DELIVER	    38 	   1.35 	   12.5 	  0.154 	   10.3 
   76.943	 DELIVER	    39 	  0.752 	   12.1 	  0.154 	   10.3 
   78.696	 DELIVER	    40 	   0.62 	   13.2 	  0.154 	   11.5 
   79.003	 DELIVER	    41 	   2.29 	   13.3 	  0.154 	   11.5 
   79.205	 DELIVER	    42 	  0.972 	   13.1 	  0.154 	   11.5 
   79.992	 DELIVER	    43 	   1.85 	   13.4 	  0.154 	   11.5 
