    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    6.112	 DELIVER	     1 	   2.34 	   6.03 	      0 	      0 	      0 
    8.050	 DELIVER	     2 	   2.29 	   7.04 	      0 	      0 	      0 
   10.832	 DELIVER	     3 	  0.541 	   8.69 	      0 	      0 	  0.279 
   11.038	 DELIVER	     4 	  0.542 	   8.47 	      0 	      0 	  0.391 
   12.810	 DELIVER	     5 	   2.72 	   7.57 	      0 	      0 	      0 
   15.697	 DELIVER	     6 	   1.32 	   9.22 	      0 	      0 	      0 
   15.782	 DELIVER	     7 	   1.33 	   8.11 	      0 	      0 	  0.135 
   17.037	 DELIVER	     8 	   1.39 	   8.43 	      0 	      0 	      0 
   17.420	 DELIVER	     9 	   1.18 	   8.38 	      0 	      0 	 0.0913 
   17.871	 DELIVER	    10 	  0.652 	    8.7 	      0 	      0 	  0.833 
   18.310	 DELIVER	    11 	   2.54 	   6.75 	      0 	      0 	      0 
   25.220	 DELIVER	    12 	   1.82 	   5.37 	      0 	      0 	      0 
   30.616	 DELIVER	    13 	   1.21 	   7.09 	      0 	      0 	      0 
   32.524	 DELIVER	    14 	  0.929 	   6.89 	      0 	      0 	      0 
   34.478	 DELIVER	    15 	   2.45 	   8.22 	      0 	      0 	      0 
   38.107	 DELIVER	    16 	   2.97 	   8.15 	      0 	      0 	      0 
   38.524	 DELIVER	    17 	  0.953 	   7.11 	      0 	      0 	      0 
   41.695	 DELIVER	    18 	   1.52 	   8.75 	      0 	      0 	      0 
   41.732	 DELIVER	    19 	   2.63 	   8.73 	      0 	      0 	      0 
   43.797	 DELIVER	    20 	   1.43 	   8.41 	      0 	      0 	      0 
   43.805	 DELIVER	    21 	   1.11 	   7.31 	      0 	      0 	      0 
   53.163	 DELIVER	    22 	   1.67 	   9.84 	      0 	      0 	      0 
   56.354	 DELIVER	    23 	   1.68 	   7.45 	      0 	      0 	      0 
   57.919	 DELIVER	    24 	  0.972 	   4.33 	      0 	      0 	      0 
   61.061	 DELIVER	    25 	   2.85 	   8.55 	      0 	      0 	      0 
   62.652	 DELIVER	    26 	   2.52 	   7.12 	      0 	      0 	      0 
   64.232	 DELIVER	    27 	   2.07 	   8.36 	      0 	      0 	      0 
